epoch,train_lr,train_loss,test_loss,test_acc1,test_acc5,test_ema_loss,test_ema_acc1,test_ema_acc5
0,1.000000000000014e-06,6.9159883000850675,6.893138450734756,0.24600001510620118,0.9020000434541702,6.912292990614386,0.1020000015258789,0.4920000050544739
1,1.000000000000014e-06,6.903954573774338,6.859029552515815,0.3800000170516968,1.5940000604724884,6.910113997319165,0.10000000137329101,0.5060000078010559
2,0.00040080000000000486,6.529000393104553,5.155427697826834,8.120000238990784,22.166000623321533,6.908790649736629,0.09800000061035156,0.506000007019043
3,0.0008005999999999952,6.049420235681533,3.9758172526079067,21.012000562591552,44.03000130958557,6.908933907747269,0.1000000016784668,0.5020000064086914
4,0.001200399999999992,5.674247535800934,3.3709167803035065,29.542000842666624,56.16000150466919,6.910624043029897,0.1000000016784668,0.5000000065612793
5,0.001600200000000024,5.379906292748451,2.9059236338909935,37.93000106399536,65.04800171356202,6.914403636665905,0.10000000122070313,0.5000000074768066
6,0.001998636387080776,5.147319635844231,2.52856943712515,44.12200128326416,70.95200212615967,6.920896672150668,0.10000000122070313,0.5100000077819824
7,0.001998036594786119,4.943740556931496,2.4033882416346493,48.57000131317139,74.97000262283325,6.929198056459427,0.10200000183105469,0.5280000119018554
8,0.001997327904838336,4.773204735732079,2.1387200749972286,51.610001368865966,77.74000254074096,6.938554984681747,0.10200000183105469,0.5160000109863281
9,0.0019965103949532784,4.647096855068207,2.1166965426767574,54.3140014038086,79.78400244873046,6.948393164312138,0.10200000137329102,0.5220000105285645
10,0.0019955841547800715,4.530468553972244,1.9359468629255014,57.776001448059084,82.04200255722046,6.959664804093978,0.11800000350952149,0.5600000152587891
11,0.0019945492858914225,4.430370405220986,1.7919287633369951,59.330001690368654,83.43400251205445,6.970946690615485,0.12200000518798829,0.5820000201416016
12,0.001993405901772395,4.363153052210808,1.7367712583611994,60.486001746521,83.9760024697876,6.973640915225534,0.14000000564575196,0.6800000289916992
13,0.001992154127807911,4.294779508924484,1.8371972928152365,60.99800170501709,84.4380025958252,6.9255976852248695,0.20800001202106475,0.8900000365877152
14,0.0019907941012691044,4.225629174828529,1.6270929645089542,63.53200189163208,86.0860026600647,6.71112789476619,0.6520000288248062,2.640000081386566
15,0.001989325971298189,4.172532679057121,1.609446580576546,64.36200184875489,86.77200258041381,6.139208982972538,3.8980001263904573,11.74000033566475
16,0.0019877498988921443,4.135197504615784,1.5639791878707268,64.67200190048217,86.70200246643067,5.3459380496950715,11.016000311412812,25.89000074687958
17,0.001986066056885134,4.099969333291054,1.5303393545396187,65.68800206192017,87.62600233566285,4.58417551482425,19.200000570220947,39.39800104949951
18,0.0019842746299294275,4.073225228333473,1.516421271597638,66.16400181762695,87.9800024887085,3.9422098994255066,26.844000842208864,50.31200134376526
19,0.001982375814475029,4.024599204492569,1.4733447241870796,66.48200202926635,88.2500025112915,3.4114834753906025,33.764000862045286,58.95400148345947
20,0.0019803698187486067,4.002497801566124,1.4171729655388523,67.2660019265747,88.78400266525269,2.9759375733487747,40.0620011819458,65.7940018838501
21,0.0019782568627301463,3.9762485000133516,1.5025996438720648,67.54800175445557,88.77800240036011,2.6382214641746353,45.49200134925842,71.02000226715087
22,0.001976037178129065,3.9507196954488752,1.4011233696604477,67.55000196395874,89.0400024206543,2.379544584628414,49.57600128479004,74.91400262664794
